,GC-1,GC-2,GC-3,GC-4,GC-5,GC-6,GC-7,GC-8
0,0.1,0.0289999999999999,0.08,0.31,0.8265,0.815,0.2319999999999999,0.1165
1,0.103,0.007,0.506,0.136,0.5549999999999999,0.8520000000000001,0.311,0.842
2,0.0,0.0,0.121,0.249,0.765,0.6559999999999999,0.362,0.0
3,0.0,0.012,0.03,0.382,0.6739999999999999,0.582,10.0765,0.031
4,0.118,0.0,0.073,0.092,0.735,0.5609999999999999,2.044,0.078
5,0.1065,0.033,0.19,0.055,0.683,0.702,11.651,0.069
6,0.017,0.009,0.007,0.163,0.379,0.8979999999999999,9.894,0.125
7,0.011,0.017,0.0,0.1665,0.69,0.995,4.087,0.045
8,0.0,0.009,0.025,0.533,0.6439999999999999,0.934,8.145,0.175
9,0.0,0.028,0.035,0.159,0.8160000000000001,0.718,6.297000000000001,0.0829999999999999
10,0.0,0.0185,0.275,0.192,0.497,0.729,2.198,0.094
11,0.01,0.016,0.046,0.157,0.49,0.653,0.205,0.068
12,0.002,0.003,0.024,0.288,0.544,1.008,0.187,0.114
13,0.033,0.02,0.013,0.208,0.548,0.706,0.202,0.182
14,0.007,0.011,0.072,0.18,0.755,0.623,0.273,0.077
15,0.009,0.0289999999999999,0.127,0.498,0.824,0.6020000000000001,0.159,0.12
16,0.0,0.021,0.059,0.418,0.773,0.593,0.111,0.124
17,0.017,0.0,0.026,0.491,0.679,0.5680000000000001,0.138,0.156
18,0.023,0.0,0.03,0.662,0.738,0.5880000000000001,0.075,0.286
19,0.014,0.016,0.071,0.442,0.637,0.4609999999999999,0.1599999999999999,0.991
20,0.0,0.0,0.095,0.24,0.675,0.484,0.213,1.0630000000000002
21,0.0,0.0,0.105,0.317,0.802,0.356,0.172,1.345
22,0.0,0.0,0.011,0.292,0.636,0.452,0.136,4.597
23,0.0,0.0,0.025,0.524,0.696,0.321,0.195,2.9370000000000003
24,0.063,0.011,0.06,0.442,0.5549999999999999,0.501,0.235,7.354
25,0.008,0.019,0.131,0.256,0.554,0.47,1.083,4.297000000000001
26,0.0385,0.014,0.061,0.213,0.647,0.521,1.0950000000000002,6.289
27,0.016,0.005,0.1169999999999999,0.442,0.518,0.408,1.286,2.553
28,0.072,0.009,0.0199999999999999,0.378,0.692,0.51,4.956,1.363
29,0.026,0.009,1.426,0.52,0.5740000000000001,0.389,2.903,1.417
30,0.0,0.012,0.488,0.4609999999999999,0.642,0.526,7.865,1.535
31,0.003,0.0,0.8089999999999999,0.596,0.557,0.511,4.923,2.169
32,0.0,0.033,0.2309999999999999,0.394,0.724,0.519,6.747,1.396
33,0.0,0.012,0.1979999999999999,0.504,0.6060000000000001,0.99,2.8760000000000003,3.63
34,0.0,0.017,0.388,0.404,0.612,1.039,1.132,4.037
35,0.059,0.024,0.141,0.569,0.736,1.341,1.3250000000000002,1.509
36,0.046,0.05,0.053,0.379,0.778,0.939,1.386,4.3260000000000005
37,0.098,0.072,0.092,0.3389999999999999,0.777,1.215,2.1790000000000003,0.8400000000000001
38,0.023,0.207,0.236,0.098,0.662,1.05,1.048,0.664
39,0.014,0.066,0.875,0.391,0.6659999999999999,0.999,3.911,0.633
40,0.004,0.6779999999999999,0.968,0.24,0.5840000000000001,1.079,4.285,0.536
41,0.031,0.518,0.608,0.406,0.597,0.812,1.37,0.417
42,0.012,0.376,0.737,0.524,0.619,1.058,4.813000000000001,0.308
43,0.013,0.211,0.398,0.337,0.848,1.03,0.959,0.133
44,0.021,0.11,0.6970000000000001,0.472,0.99,1.091,0.641,0.159
45,0.003,0.038,0.98,0.256,0.981,1.17,0.545,0.142
46,0.104,0.033,0.665,0.214,0.738,1.074,0.278,0.309
47,0.223,0.073,0.301,0.211,0.779,0.975,0.331,0.31
48,0.021,0.122,0.214,0.24,0.834,0.971,0.244,0.519
49,1.585,0.23,0.151,0.207,0.794,0.996,0.16,0.622
50,1.1,0.293,0.211,0.307,0.696,0.956,0.271,0.5860000000000001
51,0.915,0.513,0.301,0.151,0.7090000000000001,0.99,0.348,0.518
52,0.738,0.649,0.313,0.348,0.975,1.037,0.256,0.694
53,2.526,0.492,0.235,0.233,0.746,0.914,0.3289999999999999,0.6040000000000001
54,1.245,0.425,0.186,0.248,0.823,1.041,0.347,0.708
55,3.229,0.489,0.1699999999999999,0.483,0.738,1.085,0.463,0.706
56,4.4510000000000005,0.444,0.3335,0.465,0.776,0.863,0.6619999999999999,0.753
57,0.642,0.524,0.29,0.481,0.757,0.856,0.6910000000000001,0.875
58,0.588,0.377,0.194,0.429,0.67,0.862,0.615,0.618
59,3.0730000000000004,0.377,0.412,0.49,0.515,0.884,0.716,0.8899999999999999
60,0.493,0.5249999999999999,0.322,0.499,0.484,1.062,0.7190000000000001,0.922
61,0.914,0.655,0.434,0.746,0.589,0.787,0.554,0.89
62,1.962,0.7130000000000001,0.311,0.667,0.639,0.474,0.6950000000000001,0.845
63,1.816,0.88,0.221,0.484,0.6519999999999999,0.535,0.734,0.892
64,1.123,1.904,0.298,0.094,0.6910000000000001,0.409,0.803,0.867
65,1.146,1.531,0.23,0.148,0.441,0.551,0.921,0.936
66,1.034,0.936,0.252,0.175,0.575,0.352,0.96,0.876
