UTCDateTime,pm2_5_atm
2024/03/12T00:01:04z,0.22
2024/03/12T00:03:03z,0.37
2024/03/12T00:05:03z,0.05
2024/03/12T00:07:03z,0.65
2024/03/12T00:09:03z,0.75
2024/03/12T00:11:03z,0.53
2024/03/12T00:13:03z,0.32
2024/03/12T00:15:03z,0.54
2024/03/12T00:17:03z,0.97
2024/03/12T00:19:03z,1.08
2024/03/12T00:20:44z,1.44
2024/03/12T00:22:44z,1.17
2024/03/12T00:24:44z,0.79
2024/03/12T00:26:44z,0.84
2024/03/12T00:28:44z,1.51
2024/03/12T00:30:44z,1.19
2024/03/12T00:32:44z,0.63
2024/03/12T00:34:44z,1.09
2024/03/12T00:36:44z,1.09
2024/03/12T00:38:44z,1.44
2024/03/12T00:40:25z,1.62
2024/03/12T00:42:25z,1
2024/03/12T00:44:25z,1.39
2024/03/12T00:46:25z,1.02
2024/03/12T00:48:25z,1.42
2024/03/12T00:50:25z,0.97
2024/03/12T00:52:25z,1.05
2024/03/12T00:54:25z,1.16
2024/03/12T00:56:25z,0.81
2024/03/12T00:58:25z,1.29
2024/03/12T01:00:06z,1.43
2024/03/12T01:02:06z,1.19
2024/03/12T01:04:06z,1.23
2024/03/12T01:06:06z,1.18
2024/03/12T01:08:06z,0.91
2024/03/12T01:10:06z,0.86
2024/03/12T01:12:06z,1.16
2024/03/12T01:14:06z,1.38
2024/03/12T01:16:06z,0.81
2024/03/12T01:18:06z,0.8
2024/03/12T01:19:47z,1.62
2024/03/12T01:21:47z,1.2
2024/03/12T01:23:47z,1.48
2024/03/12T01:25:47z,1.34
2024/03/12T01:27:47z,1.02
2024/03/12T01:29:47z,1.12
2024/03/12T01:31:47z,0.98
2024/03/12T01:33:47z,2.03
2024/03/12T01:35:47z,1.91
2024/03/12T01:37:47z,1.83
2024/03/12T01:39:27z,2.29
2024/03/12T01:41:27z,1.78
2024/03/12T01:43:27z,1.63
2024/03/12T01:45:27z,1.84
2024/03/12T01:47:27z,1.69
2024/03/12T01:49:27z,1.68
2024/03/12T01:51:27z,1.29
2024/03/12T01:53:27z,1.5
2024/03/12T01:55:27z,1.78
2024/03/12T01:57:27z,2.78
2024/03/12T01:59:07z,2.49
2024/03/12T02:01:07z,2.32
2024/03/12T02:03:07z,2.11
2024/03/12T02:05:07z,1.16
2024/03/12T02:07:07z,0.98
2024/03/12T02:09:07z,1.03
2024/03/12T02:11:07z,0.78
2024/03/12T02:13:07z,1.04
2024/03/12T02:15:07z,1.05
2024/03/12T02:17:07z,2.2
2024/03/12T02:18:48z,2.98
2024/03/12T02:20:48z,2.61
2024/03/12T02:22:48z,2.18
2024/03/12T02:24:48z,2.02
2024/03/12T02:26:48z,1.29
2024/03/12T02:28:48z,1
2024/03/12T02:30:48z,1.57
2024/03/12T02:32:48z,1.25
2024/03/12T02:34:48z,1.24
2024/03/12T02:36:48z,1.1
2024/03/12T02:38:28z,1.16
2024/03/12T02:40:28z,0.98
2024/03/12T02:42:28z,0.46
2024/03/12T02:44:28z,1
2024/03/12T02:46:28z,1.12
2024/03/12T02:48:28z,0.75
2024/03/12T02:50:28z,0.9
2024/03/12T02:52:28z,1.05
2024/03/12T02:54:28z,0.48
2024/03/12T02:56:28z,0.17
2024/03/12T02:58:08z,0.96
2024/03/12T03:00:08z,0.2
2024/03/12T03:02:08z,0.8
2024/03/12T03:04:08z,0.29
2024/03/12T03:06:08z,1.02
2024/03/12T03:08:08z,0.95
2024/03/12T03:10:08z,1.25
2024/03/12T03:12:08z,1.36
2024/03/12T03:14:08z,1
2024/03/12T03:16:08z,1.22
2024/03/12T03:17:49z,1.13
2024/03/12T03:19:49z,0.98
2024/03/12T03:21:49z,0.92
2024/03/12T03:23:49z,1.07
2024/03/12T03:25:49z,1.38
